Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
212.858,-0.03780491,-0.01581825,0.1320582,0.1475134,-0.03001399,0.1380611,0.01556471,-0.05293614,-0.3396434,0.1827878,0.04749377,-0.06745294,0.06075091,-0.05468081,0.02436608,0.05591454,-0.203438,-0.07274625,0.07351917,0.0171712,0.1173676,-0.03374217,0.5846681,0.1622595,0.0336643,-0.009095985,-0.05152663
213.296,-0.04206239,0.03033574,0.1322291,0.07303202,0.003107219,0.1599123,0.0376744,-0.07321802,-0.2585863,0.126955,0.09769085,-0.01026277,0.03275257,-0.007623875,0.1099829,-0.02510367,-0.09333404,0.002013914,-0.01409357,-0.0877873,-0.04431178,0.03474186,0.2166777,0.1020911,-0.0008326494,-0.04472259,-0.02906379
213.734,-0.005098188,0.007261481,0.09928086,0.1120687,0.04031919,0.1200902,0.08417483,-0.08933801,-0.1104905,0.03077425,0.1530033,-0.009150404,-0.01537509,-0.02750301,0.06589964,0.004586461,0.01164758,0.1707702,0.06482427,-0.1464986,-0.08671438,0.09754417,0.1974142,0.051602,0.008380204,0.03644121,0.1176531
214.172,0.02012425,-0.02182073,0.1582863,0.07822646,0.07951494,0.06402278,0.1445821,-0.09039768,0.1166031,0.03772829,0.09401882,-0.0001816905,-0.06574632,0.02929749,0.0376113,-0.05028944,0.2043254,0.03442153,0.04466337,-0.02130338,-0.2302068,0.02561475,-0.0109598,-0.009900132,-0.119039,-0.0200264,0.09664863
214.609,0.02281059,-0.09751125,0.1388195,-0.05724346,0.1138552,0.02364634,0.1565276,-0.1028577,-0.07743632,0.01872562,-0.007922485,0.009350553,-0.1153607,0.05967738,0.00495035,-0.231054,0.1278558,-0.1287513,-0.1707215,0.1487921,-0.2856308,-0.08982191,-0.3806037,0.02042277,-0.2771652,-0.1916729,-0.09041411
215.047,0.01704657,-0.1264631,0.1088859,-0.1209658,0.09612587,0.03921023,0.131615,-0.07860287,-0.4026754,-0.01484512,-0.0652448,0.02755777,-0.1119418,0.0790637,-0.01682593,-0.4943191,-0.1802337,-0.3412873,-0.5087701,0.2786834,-0.3120607,-0.2395085,-0.707107,0.1134081,-0.431229,-0.4497844,-0.3807876
215.485,0.02374154,-0.06458885,0.09186229,-0.06922128,0.02725896,0.1084864,0.1055343,-0.005253192,-0.702434,-0.03916512,-0.03065576,0.05225555,-0.04276907,0.09716432,-0.004803564,-0.449776,-0.5406873,-0.2638888,-0.5355149,0.4498583,-0.2308602,-0.1373696,-0.5889608,0.1583305,-0.1847872,-0.4134866,-0.3359108
215.923,0.07474162,0.02301399,0.05550269,-0.03775375,-0.03776582,0.1470361,0.1312249,0.06186048,-0.852409,-0.01990235,0.05131818,0.0623496,0.01763059,0.1030692,0.03922131,0.07506731,-0.6834156,0.3678567,-0.02248476,1.282443,0.007134192,0.2029812,0.14477,0.2959741,0.5639269,0.103352,0.318869
216.361,0.1126162,0.04767683,-0.001099077,-0.01585492,-0.02362658,0.1289143,0.1200602,0.05839823,-0.8424857,0.01778797,0.08356838,0.03714223,0.1151359,0.01099026,0.02374305,0.120485,-0.5714572,0.6319358,0.2593083,0.2953481,-0.02587513,0.2066913,0.1632838,0.1348916,0.3737696,0.3783443,0.5906994
216.799,0.09087688,0.04025691,-0.01448712,0.02469153,0.01131712,0.06608731,0.1049724,0.01475464,-0.8079817,0.06471601,0.04609912,0.02661652,0.1640886,0.009509554,0.03587731,0.03093185,-0.5674499,0.2834549,0.2240295,-0.003255349,-0.01046822,0.06082316,0.007088955,0.01040086,0.1699989,0.4424432,0.3940576
